Time_Peltier_On;T1;T2
58:53.6;9.468;10.301
58:53.8;9.399;10.177
58:54.0;9.206;10.039
58:54.2;9.117;9.887
58:54.4;9.018;9.788
58:54.6;8.888;9.661
58:54.8;8.797;9.534
58:55.0;8.706;9.448
58:55.2;8.626;9.357
58:55.4;8.571;9.263
58:55.6;8.488;9.186
58:55.8;8.452;9.106
58:56.0;8.369;9.034
58:56.2;8.295;8.954
58:56.4;8.261;8.879
58:56.6;8.22;8.832
58:56.8;8.151;8.794
58:57.0;8.11;8.714
58:57.2;8.057;8.639
58:57.4;8.041;8.628
58:57.6;7.977;8.57
58:57.8;7.955;8.498
58:58.0;7.908;8.451
58:58.2;7.858;8.374
58:58.4;7.825;8.347
58:58.6;7.789;8.3
58:58.8;7.731;8.244
58:59.0;7.753;8.203
58:59.2;7.673;8.167
58:59.4;7.662;8.101
58:59.6;7.613;8.065
58:59.8;7.582;7.999
59:00.0;7.557;7.985
59:00.2;7.538;7.935
59:00.4;7.491;7.916
59:00.6;7.452;7.847
59:00.8;7.406;7.822
59:01.0;7.378;7.758
59:01.2;7.364;7.745
59:01.4;7.348;7.703
59:01.6;7.317;7.665
59:01.8;7.29;7.634
59:02.0;7.281;7.593
59:02.2;7.234;7.579
59:02.4;7.212;7.518
59:02.6;7.187;7.488
59:02.8;7.163;7.48
59:03.0;7.135;7.446
59:03.2;7.124;7.413
59:03.4;7.11;7.372
59:03.6;7.082;7.35
59:03.8;7.06;7.347
59:04.0;7.055;7.308
59:04.2;7.047;7.272
59:04.4;6.994;7.261
59:04.6;6.991;7.228
59:04.8;6.986;7.203
59:05.0;6.955;7.176
59:05.2;6.939;7.151
59:05.4;6.939;7.143
59:05.6;6.897;7.093
59:05.8;6.881;7.079
59:06.0;6.864;7.068
59:06.2;6.853;7.052
59:06.4;6.834;7.04
59:06.6;6.828;7.01
59:06.8;6.804;7.01
59:07.0;6.784;6.963
59:07.2;6.79;6.947
59:07.4;6.765;6.958
59:07.6;6.762;6.924
59:07.8;6.732;6.913
59:08.0;6.718;6.891
59:08.2;6.707;6.875
59:08.4;6.688;6.872
59:08.6;6.685;6.855
59:08.8;6.679;6.833
59:09.0;6.643;6.8
59:09.2;6.654;6.792
59:09.4;6.643;6.789
59:09.6;6.632;6.759
59:09.8;6.605;6.756
59:10.0;6.608;6.726
59:10.2;6.594;6.723
59:10.4;6.577;6.706
59:10.6;6.552;6.706
59:10.8;6.539;6.668
59:11.0;6.536;6.648
59:11.2;6.536;6.651
59:11.4;6.505;6.621
59:11.6;6.505;6.613
59:11.8;6.469;6.613
59:12.0;6.486;6.577
59:12.2;6.481;6.56
59:12.4;6.45;6.56
59:12.6;6.409;6.53
59:12.8;6.428;6.521
59:13.0;6.425;6.505
59:13.2;6.395;6.491
59:13.4;6.392;6.469
59:13.6;6.373;6.469
59:13.8;6.345;6.45
59:14.0;6.359;6.444
59:14.2;6.329;6.427
59:14.4;6.315;6.416
59:14.6;6.298;6.425
59:14.8;6.309;6.364
59:15.0;6.296;6.381
59:15.2;6.293;6.345
59:15.4;6.254;6.356
59:15.6;6.268;6.328
59:15.8;6.235;6.306
59:16.0;6.227;6.298
59:16.2;6.193;6.289
59:16.4;6.202;6.262
59:16.6;6.204;6.273
59:16.8;6.171;6.24
59:17.0;6.182;6.223
59:17.2;6.144;6.223
59:17.4;6.149;6.22
59:17.6;6.122;6.201
59:17.8;6.111;6.19
59:18.0;6.077;6.168
59:18.2;6.075;6.146
59:18.4;6.055;6.151
59:18.6;6.036;6.124
59:18.8;6.033;6.099
59:19.0;6.028;6.116
59:19.2;6.025;6.102
59:19.4;6;6.085
59:19.6;5.986;6.077
59:19.8;5.978;6.041
59:20.0;5.972;6.033
