Time_Peltier_On;T1;T2
59:20.2;5.964;6.03
59:20.4;5.948;6.022
59:20.6;5.934;5.994
59:20.8;5.915;5.988
59:21.0;5.909;5.969
59:21.2;5.903;5.958
59:21.4;5.865;5.925
59:21.6;5.832;5.914
59:21.8;5.843;5.914
59:22.0;5.832;5.922
59:22.2;5.826;5.889
59:22.4;5.793;5.853
59:22.6;5.788;5.867
59:22.8;5.793;5.831
59:23.0;5.768;5.826
59:23.2;5.779;5.815
59:23.4;5.724;5.803
59:23.6;5.724;5.798
59:23.8;5.735;5.768
59:24.0;5.702;5.798
59:24.2;5.707;5.762
59:24.4;5.669;5.759
59:24.6;5.683;5.743
59:24.8;5.641;5.732
59:25.0;5.638;5.701
59:25.2;5.616;5.688
59:25.4;5.583;5.671
59:25.6;5.608;5.657
59:25.8;5.589;5.635
59:26.0;5.575;5.632
59:26.2;5.547;5.635
59:26.4;5.547;5.605
59:26.6;5.531;5.605
59:26.8;5.522;5.583
59:27.0;5.498;5.569
59:27.2;5.475;5.558
59:27.4;5.484;5.572
59:27.6;5.464;5.533
59:27.8;5.481;5.514
59:28.0;5.451;5.5
59:28.2;5.429;5.489
59:28.4;5.393;5.472
59:28.6;5.395;5.456
59:28.8;5.379;5.45
59:29.0;5.36;5.447
59:29.2;5.365;5.417
59:29.4;5.351;5.417
59:29.6;5.346;5.406
59:29.8;5.324;5.398
59:30.0;5.302;5.378
59:30.2;5.302;5.362
59:30.4;5.293;5.351
59:30.6;5.252;5.351
59:30.8;5.246;5.34
59:31.0;5.235;5.298
59:31.2;5.238;5.282
59:31.4;5.233;5.276
59:31.6;5.197;5.276
59:31.8;5.219;5.262
59:32.0;5.177;5.235
59:32.2;5.161;5.232
59:32.4;5.147;5.218
59:32.6;5.147;5.196
59:32.8;5.119;5.193
59:33.0;5.097;5.174
59:33.2;5.089;5.149
59:33.4;5.078;5.155
59:33.6;5.064;5.135
59:33.8;5.059;5.13
59:34.0;5.042;5.105
59:34.2;5.036;5.097
59:34.4;5.017;5.097
59:34.6;5.006;5.069
59:34.8;4.978;5.055
59:35.0;4.965;5.044
59:35.2;4.954;5.019
59:35.4;4.94;5.008
59:35.6;4.94;5
59:35.8;4.932;4.997
59:36.0;4.901;4.97
59:36.2;4.896;4.959
59:36.4;4.882;4.912
59:36.6;4.871;4.934
59:36.8;4.838;4.912
59:37.0;4.827;4.914
59:37.2;4.818;4.898
59:37.4;4.81;4.879
59:37.6;4.799;4.856
59:37.8;4.785;4.851
59:38.0;4.744;4.837
59:38.2;4.76;4.818
59:38.4;4.763;4.798
59:38.6;4.711;4.796
59:38.8;4.722;4.765
59:39.0;4.719;4.787
59:39.2;4.691;4.743
59:39.4;4.686;4.76
59:39.6;4.653;4.721
59:39.8;4.65;4.727
59:40.0;4.631;4.696
59:40.2;4.617;4.699
59:40.4;4.609;4.671
59:40.6;4.592;4.663
59:40.8;4.586;4.647
59:41.0;4.562;4.641
59:41.2;4.562;4.638
59:41.4;4.553;4.597
59:41.6;4.528;4.589
59:41.8;4.504;4.591
59:42.0;4.49;4.558
59:42.2;4.476;4.55
59:42.4;4.484;4.542
59:42.6;4.457;4.536
59:42.8;4.443;4.528
59:43.0;4.407;4.495
59:43.2;4.418;4.481
59:43.4;4.404;4.484
59:43.6;4.385;4.453
59:43.8;4.382;4.423
59:44.0;4.368;4.437
59:44.2;4.352;4.401
59:44.4;4.349;4.415
59:44.6;4.338;4.393
59:44.8;4.324;4.384
59:45.0;4.294;4.359
59:45.2;4.299;4.348
59:45.4;4.266;4.354
59:45.6;4.25;4.34
59:45.8;4.241;4.304
59:46.0;4.222;4.304
59:46.2;4.2;4.268
59:46.4;4.203;4.26
59:46.6;4.197;4.271
59:46.8;4.186;4.252
59:47.0;4.172;4.238
59:47.2;4.147;4.205
59:47.4;4.141;4.199
59:47.6;4.121;4.177
59:47.8;4.11;4.18
59:48.0;4.105;4.141
59:48.2;4.088;4.141
59:48.4;4.065;4.132
59:48.6;4.049;4.107
59:48.8;4.018;4.113
59:49.0;4.035;4.113
59:49.2;4.004;4.068
59:49.4;4.009;4.073
59:49.6;3.976;4.045
59:49.8;3.967;4.028
59:50.0;3.962;4.026
59:50.2;3.948;4.023
59:50.4;3.937;4.02
59:50.6;3.928;3.984
59:50.8;3.883;3.984
59:51.0;3.897;3.953
59:51.2;3.867;3.947
59:51.4;3.869;3.928
59:51.6;3.85;3.933
59:51.8;3.858;3.914
59:52.0;3.827;3.888
59:52.2;3.81;3.866
59:52.4;3.788;3.858
59:52.6;3.805;3.838
59:52.8;3.766;3.838
59:53.0;3.76;3.838
59:53.2;3.74;3.804
59:53.4;3.743;3.801
59:53.6;3.715;3.782
59:53.8;3.684;3.757
59:54.0;3.69;3.734
59:54.2;3.662;3.729
59:54.4;3.659;3.712
59:54.6;3.648;3.72
59:54.8;3.623;3.715
59:55.0;3.617;3.692
59:55.2;3.595;3.678
59:55.4;3.567;3.656
59:55.6;3.575;3.65
59:55.8;3.564;3.65
59:56.0;3.558;3.619
59:56.2;3.525;3.611
59:56.4;3.513;3.589
59:56.6;3.516;3.558
59:56.8;3.505;3.563
59:57.0;3.463;3.547
59:57.2;3.494;3.549
59:57.4;3.457;3.532
59:57.6;3.46;3.51
59:57.8;3.424;3.502
59:58.0;3.427;3.479
59:58.2;3.385;3.468
59:58.4;3.401;3.448
59:58.6;3.376;3.446
59:58.8;3.359;3.418
59:59.0;3.359;3.415
59:59.2;3.345;3.418
59:59.4;3.329;3.376
59:59.6;3.301;3.373
59:59.8;3.298;3.356
00:00.0;3.286;3.35
00:00.2;3.27;3.331
00:00.4;3.247;3.322
00:00.6;3.222;3.308
00:00.8;3.239;3.3
00:01.0;3.216;3.28
00:01.2;3.211;3.272
00:01.4;3.174;3.261
00:01.6;3.166;3.233
00:01.8;3.149;3.224
00:02.0;3.152;3.221
00:02.2;3.138;3.196
00:02.4;3.104;3.202
00:02.6;3.09;3.174
00:02.8;3.088;3.157
00:03.0;3.085;3.151
00:03.2;3.079;3.115
00:03.4;3.037;3.118
00:03.6;3.029;3.115
00:03.8;2.992;3.095
00:04.0;3.023;3.09
00:04.2;2.975;3.073
00:04.4;2.995;3.059
00:04.6;2.97;3.051
00:04.8;2.967;3.028
00:05.0;2.959;3.025
00:05.2;2.933;3.037
00:05.4;2.925;2.997
00:05.6;2.891;2.969
00:05.8;2.891;2.966
00:06.0;2.875;2.958
00:06.2;2.875;2.927
00:06.4;2.855;2.938
00:06.6;2.841;2.905
00:06.8;2.821;2.896
00:07.0;2.813;2.88
00:07.2;2.796;2.891
00:07.4;2.791;2.857
00:07.6;2.757;2.821
00:07.8;2.763;2.843
00:08.0;2.726;2.824
00:08.2;2.749;2.779
00:08.4;2.712;2.787
00:08.6;2.706;2.779
00:08.8;2.673;2.759
00:09.0;2.664;2.754
00:09.2;2.67;2.703
00:09.4;2.648;2.72
00:09.6;2.614;2.703
00:09.8;2.617;2.681
00:10.0;2.608;2.667
00:10.2;2.589;2.669
00:10.4;2.583;2.653
00:10.6;2.566;2.639
00:10.8;2.572;2.63
00:11.0;2.541;2.616
00:11.2;2.516;2.605
00:11.4;2.51;2.577
00:11.6;2.477;2.557
00:11.8;2.477;2.549
00:12.0;2.466;2.546
00:12.2;2.449;2.532
00:12.4;2.423;2.521
00:12.6;2.412;2.51
00:12.8;2.407;2.473
00:13.0;2.407;2.487
00:13.2;2.37;2.465
00:13.4;2.387;2.451
00:13.6;2.348;2.437
00:13.8;2.356;2.412
00:14.0;2.353;2.409
00:14.2;2.317;2.412
00:14.4;2.314;2.378
00:14.6;2.303;2.375
00:14.8;2.286;2.344
00:15.0;2.272;2.344
00:15.2;2.264;2.33
00:15.4;2.233;2.314
00:15.6;2.239;2.3
00:15.8;2.219;2.288
00:16.0;2.197;2.286
00:16.2;2.171;2.252
00:16.4;2.16;2.241
00:16.6;2.146;2.21
00:16.8;2.149;2.216
00:17.0;2.138;2.218
00:17.2;2.121;2.174
00:17.4;2.09;2.179
00:17.6;2.112;2.165
00:17.8;2.073;2.137
00:18.0;2.079;2.143
00:18.2;2.051;2.123
00:18.4;2.054;2.084
00:18.6;2.02;2.095
00:18.8;2.012;2.073
00:19.0;1.984;2.056
00:19.2;1.978;2.042
00:19.4;1.972;2.042
00:19.6;1.95;2.022
00:19.8;1.933;2.025
00:20.0;1.911;1.991
00:20.2;1.919;1.991
00:20.4;1.897;1.975
00:20.6;1.897;1.952
00:20.8;1.888;1.941
00:21.0;1.874;1.947
00:21.2;1.852;1.924
00:21.4;1.841;1.924
00:21.6;1.81;1.896
00:21.8;1.799;1.888
00:22.0;1.793;1.851
00:22.2;1.787;1.863
00:22.4;1.759;1.832
00:22.6;1.754;1.829
00:22.8;1.743;1.804
00:23.0;1.709;1.787
00:23.2;1.715;1.792
00:23.4;1.689;1.748
00:23.6;1.681;1.764
00:23.8;1.675;1.742
00:24.0;1.661;1.725
00:24.2;1.647;1.734
00:24.4;1.636;1.694
00:24.6;1.642;1.689
00:24.8;1.614;1.655
00:25.0;1.591;1.661
00:25.2;1.597;1.68
00:25.4;1.546;1.641
00:25.6;1.532;1.622
00:25.8;1.518;1.608
00:26.0;1.535;1.58
00:26.2;1.518;1.574
00:26.4;1.502;1.563
00:26.6;1.479;1.543
00:26.8;1.479;1.537
00:27.0;1.462;1.532
00:27.2;1.448;1.512
00:27.4;1.426;1.504
00:27.6;1.432;1.479
00:27.8;1.395;1.47
00:28.0;1.367;1.465
00:28.2;1.362;1.445
00:28.4;1.35;1.434
00:28.6;1.359;1.423
00:28.8;1.317;1.409
00:29.0;1.336;1.386
00:29.2;1.314;1.375
00:29.4;1.3;1.361
00:29.6;1.275;1.347
00:29.8;1.261;1.336
00:30.0;1.249;1.322
00:30.2;1.244;1.296
00:30.4;1.224;1.294
00:30.6;1.207;1.291
00:30.8;1.196;1.268
00:31.0;1.191;1.266
00:31.2;1.171;1.249
00:31.4;1.143;1.238
00:31.6;1.151;1.212
00:31.8;1.126;1.196
00:32.0;1.123;1.204
00:32.2;1.109;1.179
00:32.4;1.095;1.173
00:32.6;1.084;1.165
00:32.8;1.051;1.14
00:33.0;1.065;1.117
00:33.2;1.051;1.128
00:33.4;1.02;1.089
00:33.6;1.022;1.084
00:33.8;0.989;1.056
00:34.0;0.989;1.061
00:34.2;0.98;1.03
00:34.4;0.95;1.013
00:34.6;0.958;1.013
00:34.8;0.936;0.999
00:35.0;0.899;1.002
00:35.2;0.888;0.966
00:35.4;0.894;0.977
00:35.6;0.888;0.955
00:35.8;0.849;0.915
00:36.0;0.874;0.927
00:36.2;0.829;0.915
00:36.4;0.843;0.896
00:36.6;0.821;0.876
00:36.8;0.807;0.868
00:37.0;0.81;0.851
00:37.2;0.765;0.845
00:37.4;0.748;0.829
00:37.6;0.742;0.784
00:37.8;0.706;0.784
00:38.0;0.72;0.784
00:38.2;0.697;0.759
00:38.4;0.678;0.764
00:38.6;0.653;0.722
00:38.8;0.667;0.745
00:39.0;0.653;0.722
00:39.2;0.625;0.691
00:39.4;0.619;0.711
00:39.6;0.611;0.674
00:39.8;0.605;0.674
00:40.0;0.585;0.66
00:40.2;0.549;0.644
00:40.4;0.543;0.627
00:40.6;0.527;0.632
00:40.8;0.524;0.593
00:41.0;0.507;0.607
00:41.2;0.496;0.565
00:41.4;0.476;0.574
00:41.6;0.482;0.565
00:41.8;0.47;0.548
00:42.0;0.448;0.532
00:42.2;0.445;0.523
00:42.4;0.417;0.49
00:42.6;0.403;0.498
00:42.8;0.412;0.473
00:43.0;0.384;0.456
00:43.2;0.367;0.459
00:43.4;0.353;0.456
00:43.6;0.342;0.411
00:43.8;0.325;0.405
00:44.0;0.314;0.391
00:44.2;0.288;0.38
00:44.4;0.288;0.383
00:44.6;0.283;0.352
00:44.8;0.274;0.335
00:45.0;0.249;0.316
00:45.2;0.235;0.305
00:45.4;0.224;0.319
00:45.6;0.199;0.274
00:45.8;0.201;0.277
00:46.0;0.176;0.246
00:46.2;0.173;0.249
00:46.4;0.173;0.218
00:46.6;0.14;0.223
00:46.8;0.117;0.195
00:47.0;0.134;0.198
00:47.2;0.103;0.178
00:47.4;0.084;0.162
00:47.6;0.078;0.15
00:47.8;0.047;0.125
00:48.0;0.047;0.139
00:48.2;0.033;0.122
00:48.4;0.025;0.083
00:48.6;0.005;0.08
00:48.8;-0.023;0.078
00:49.0;-0.009;0.066
00:49.2;-0.051;0.05
00:49.4;-0.017;0.033
00:49.6;-0.056;0.013
00:49.8;-0.079;0.008
00:50.0;-0.076;-0.006
00:50.2;-0.112;-0.006
00:50.4;-0.118;-0.048
00:50.6;-0.107;-0.026
00:50.8;-0.138;-0.065
00:51.0;-0.163;-0.071
00:51.2;-0.154;-0.096
00:51.4;-0.18;-0.107
00:51.6;-0.188;-0.116
00:51.8;-0.202;-0.138
00:52.0;-0.222;-0.149
00:52.2;-0.21;-0.163
00:52.4;-0.238;-0.183
00:52.6;-0.28;-0.183
00:52.8;-0.255;-0.2
00:53.0;-0.269;-0.197
00:53.2;-0.306;-0.222
00:53.4;-0.311;-0.242
00:53.6;-0.322;-0.253
00:53.8;-0.353;-0.261
00:54.0;-0.35;-0.289
00:54.2;-0.359;-0.295
00:54.4;-0.376;-0.301
00:54.6;-0.381;-0.32
00:54.8;-0.39;-0.331
00:55.0;-0.421;-0.32
00:55.2;-0.435;-0.368
00:55.4;-0.451;-0.337
00:55.6;-0.454;-0.387
00:55.8;-0.468;-0.402
00:56.0;-0.491;-0.41
00:56.2;-0.505;-0.418
00:56.4;-0.513;-0.449
00:56.6;-0.513;-0.43
00:56.8;-0.552;-0.446
00:57.0;-0.566;-0.486
00:57.2;-0.586;-0.494
00:57.4;-0.58;-0.522
00:57.6;-0.603;-0.525
00:57.8;-0.619;-0.53
00:58.0;-0.622;-0.536
00:58.2;-0.642;-0.575
00:58.4;-0.645;-0.561
00:58.6;-0.681;-0.595
00:58.8;-0.667;-0.603
00:59.0;-0.69;-0.62
00:59.2;-0.712;-0.645
00:59.4;-0.709;-0.648
00:59.6;-0.726;-0.665
00:59.8;-0.734;-0.651
01:00.0;-0.74;-0.682
01:00.2;-0.771;-0.696
01:00.4;-0.771;-0.687
01:00.6;-0.782;-0.715
01:00.8;-0.799;-0.729
01:01.0;-0.821;-0.735
01:01.2;-0.838;-0.757
01:01.4;-0.832;-0.757
01:01.6;-0.858;-0.785
01:01.8;-0.88;-0.791
01:02.0;-0.886;-0.808
01:02.2;-0.905;-0.844
01:02.4;-0.908;-0.844
01:02.6;-0.908;-0.85
01:02.8;-0.936;-0.847
01:03.0;-0.945;-0.867
01:03.2;-1.001;-0.867
01:03.4;-0.961;-0.9
01:03.6;-0.992;-0.917
01:03.8;-1.006;-0.923
01:04.0;-1.015;-0.934
01:04.2;-1.043;-0.962
01:04.4;-1.051;-0.97
01:04.6;-1.071;-0.982
01:04.8;-1.068;-1.018
01:05.0;-1.087;-1.007
01:05.2;-1.076;-1.024
01:05.4;-1.121;-1.018
01:05.6;-1.107;-1.038
01:05.8;-1.149;-1.054
01:06.0;-1.155;-1.077
01:06.2;-1.155;-1.088
01:06.4;-1.183;-1.094
01:06.6;-1.183;-1.105
01:06.8;-1.214;-1.124
01:07.0;-1.202;-1.127
01:07.2;-1.23;-1.15
01:07.4;-1.23;-1.169
01:07.6;-1.264;-1.178
01:07.8;-1.272;-1.178
01:08.0;-1.281;-1.206
01:08.2;-1.286;-1.242
01:08.4;-1.303;-1.222
01:08.6;-1.34;-1.259
01:08.8;-1.334;-1.279
01:09.0;-1.356;-1.279
01:09.2;-1.382;-1.284
01:09.4;-1.382;-1.301
01:09.6;-1.387;-1.315
01:09.8;-1.415;-1.321
01:10.0;-1.415;-1.349
01:10.2;-1.429;-1.354
01:10.4;-1.44;-1.371
01:10.6;-1.471;-1.371
01:10.8;-1.457;-1.385
01:11.0;-1.48;-1.393
01:11.2;-1.499;-1.41
01:11.4;-1.502;-1.433
01:11.6;-1.519;-1.421
01:11.8;-1.525;-1.444
01:12.0;-1.55;-1.48
01:12.2;-1.561;-1.494
01:12.4;-1.567;-1.511
01:12.6;-1.597;-1.514
01:12.8;-1.595;-1.522
01:13.0;-1.611;-1.553
01:13.2;-1.639;-1.57
01:13.4;-1.642;-1.556
01:13.6;-1.659;-1.581
01:13.8;-1.667;-1.592
01:14.0;-1.67;-1.609
01:14.2;-1.695;-1.618
01:14.4;-1.693;-1.612
01:14.6;-1.715;-1.637
01:14.8;-1.746;-1.665
01:15.0;-1.749;-1.679
01:15.2;-1.768;-1.674
01:15.4;-1.785;-1.696
01:15.6;-1.788;-1.718
01:15.8;-1.782;-1.724
01:16.0;-1.822;-1.741
01:16.2;-1.836;-1.76
01:16.4;-1.838;-1.76
01:16.6;-1.85;-1.786
01:16.8;-1.869;-1.783
01:17.0;-1.886;-1.8
01:17.2;-1.897;-1.803
01:17.4;-1.917;-1.825
01:17.6;-1.903;-1.853
01:17.8;-1.95;-1.853
01:18.0;-1.945;-1.867
01:18.2;-1.956;-1.903
01:18.4;-1.976;-1.898
01:18.6;-1.967;-1.929
01:18.8;-2.009;-1.912
01:19.0;-2.006;-1.923
01:19.2;-2.015;-1.951
01:19.4;-2.032;-1.948
01:19.6;-2.074;-1.987
01:19.8;-2.06;-1.99
01:20.0;-2.065;-2.004
01:20.2;-2.091;-2.013
01:20.4;-2.121;-2.021
01:20.6;-2.13;-2.035
01:20.8;-2.133;-2.066
01:21.0;-2.149;-2.08
01:21.2;-2.147;-2.083
01:21.4;-2.155;-2.083
01:21.6;-2.189;-2.105
01:21.8;-2.2;-2.119
01:22.0;-2.205;-2.144
01:22.2;-2.208;-2.144
01:22.4;-2.211;-2.164
01:22.6;-2.239;-2.184
01:22.8;-2.247;-2.17
01:23.0;-2.273;-2.209
01:23.2;-2.281;-2.206
01:23.4;-2.292;-2.226
01:23.6;-2.315;-2.228
01:23.8;-2.318;-2.268
01:24.0;-2.348;-2.265
01:24.2;-2.34;-2.298
01:24.4;-2.371;-2.284
01:24.6;-2.368;-2.304
01:24.8;-2.376;-2.332
01:25.0;-2.399;-2.329
01:25.2;-2.418;-2.346
01:25.4;-2.435;-2.374
01:25.6;-2.46;-2.369
01:25.8;-2.469;-2.388
01:26.0;-2.486;-2.394
01:26.2;-2.502;-2.419
01:26.4;-2.502;-2.427
01:26.6;-2.516;-2.427
01:26.8;-2.539;-2.455
01:27.0;-2.544;-2.478
01:27.2;-2.533;-2.495
01:27.4;-2.586;-2.506
01:27.6;-2.589;-2.503
01:27.8;-2.592;-2.534
01:28.0;-2.601;-2.523
01:28.2;-2.609;-2.537
01:28.4;-2.623;-2.576
01:28.6;-2.646;-2.573
01:28.8;-2.657;-2.581
01:29.0;-2.677;-2.598
01:29.2;-2.674;-2.615
01:29.4;-2.697;-2.618
01:29.6;-2.731;-2.635
01:29.8;-2.72;-2.644
01:30.0;-2.754;-2.666
01:30.2;-2.768;-2.664
01:30.4;-2.759;-2.692
01:30.6;-2.779;-2.7
01:30.8;-2.802;-2.72
01:31.0;-2.819;-2.734
01:31.2;-2.83;-2.726
01:31.4;-2.847;-2.754
01:31.6;-2.85;-2.771
01:31.8;-2.844;-2.777
01:32.0;-2.867;-2.808
01:32.2;-2.881;-2.808
01:32.4;-2.91;-2.805
01:32.6;-2.904;-2.817
01:32.8;-2.918;-2.848
01:33.0;-2.944;-2.879
01:33.2;-2.946;-2.859
01:33.4;-2.966;-2.882
01:33.6;-2.978;-2.91
01:33.8;-2.989;-2.907
01:34.0;-3.009;-2.947
01:34.2;-3.029;-2.924
01:34.4;-3.003;-2.958
01:34.6;-3.029;-2.964
01:34.8;-3.034;-3.006
01:35.0;-3.063;-3.006
01:35.2;-3.077;-3.009
01:35.4;-3.091;-3.021
01:35.6;-3.111;-3.038
01:35.8;-3.128;-3.052
01:36.0;-3.122;-3.046
01:36.2;-3.153;-3.069
01:36.4;-3.148;-3.097
01:36.6;-3.156;-3.097
01:36.8;-3.196;-3.125
01:37.0;-3.193;-3.125
01:37.2;-3.207;-3.137
01:37.4;-3.227;-3.154
01:37.6;-3.218;-3.179
01:37.8;-3.258;-3.188
01:38.0;-3.272;-3.182
01:38.2;-3.281;-3.213
01:38.4;-3.278;-3.219
01:38.6;-3.318;-3.242
01:38.8;-3.352;-3.247
01:39.0;-3.332;-3.262
01:39.2;-3.352;-3.264
01:39.4;-3.354;-3.284
01:39.6;-3.377;-3.313
01:39.8;-3.383;-3.304
01:40.0;-3.397;-3.324
01:40.2;-3.42;-3.338
01:40.4;-3.442;-3.341
01:40.6;-3.456;-3.358
01:40.8;-3.462;-3.372
01:41.0;-3.462;-3.383
01:41.2;-3.468;-3.409
01:41.4;-3.502;-3.409
01:41.6;-3.516;-3.434
01:41.8;-3.513;-3.451
01:42.0;-3.513;-3.446
01:42.2;-3.547;-3.474
01:42.4;-3.558;-3.491
01:42.6;-3.575;-3.491
01:42.8;-3.598;-3.514
01:43.0;-3.609;-3.522
01:43.2;-3.595;-3.534
01:43.4;-3.618;-3.551
01:43.6;-3.635;-3.562
01:43.8;-3.626;-3.562
01:44.0;-3.68;-3.587
01:44.2;-3.686;-3.607
01:44.4;-3.709;-3.621
01:44.6;-3.703;-3.65
01:44.8;-3.723;-3.638
01:45.0;-3.726;-3.661
01:45.2;-3.765;-3.655
01:45.4;-3.751;-3.692
01:45.6;-3.771;-3.684
01:45.8;-3.794;-3.704
01:46.0;-3.819;-3.735
01:46.2;-3.814;-3.723
01:46.4;-3.822;-3.74
01:46.6;-3.845;-3.74
01:46.8;-3.819;-3.763
01:47.0;-3.853;-3.763
01:47.2;-3.859;-3.777
01:47.4;-3.882;-3.817
01:47.6;-3.884;-3.828
01:47.8;-3.896;-3.834
01:48.0;-3.918;-3.845
01:48.2;-3.935;-3.854
01:48.4;-3.947;-3.885
01:48.6;-3.986;-3.896
01:48.8;-3.967;-3.908
01:49.0;-3.998;-3.913
01:49.2;-4.006;-3.913
01:49.4;-4.029;-3.939
01:49.6;-4.029;-3.956
01:49.8;-4.04;-3.964
01:50.0;-4.069;-3.993
01:50.2;-4.086;-4.004
01:50.4;-4.06;-4.012
01:50.6;-4.105;-4.027
01:50.8;-4.103;-4.044
01:51.0;-4.134;-4.041
01:51.2;-4.137;-4.049
01:51.4;-4.159;-4.046
01:51.6;-4.173;-4.103
01:51.8;-4.176;-4.1
01:52.0;-4.199;-4.12
01:52.2;-4.23;-4.114
01:52.4;-4.227;-4.149
01:52.6;-4.227;-4.149
01:52.8;-4.236;-4.177
01:53.0;-4.256;-4.182
01:53.2;-4.281;-4.194
01:53.4;-4.278;-4.197
01:53.6;-4.295;-4.217
01:53.8;-4.315;-4.228
01:54.0;-4.295;-4.239
01:54.2;-4.329;-4.234
01:54.4;-4.341;-4.251
01:54.6;-4.363;-4.29
01:54.8;-4.372;-4.276
01:55.0;-4.38;-4.304
01:55.2;-4.386;-4.316
01:55.4;-4.411;-4.33
01:55.6;-4.423;-4.336
01:55.8;-4.448;-4.358
01:56.0;-4.437;-4.384
01:56.2;-4.465;-4.387
01:56.4;-4.482;-4.398
01:56.6;-4.491;-4.409
01:56.8;-4.511;-4.432
01:57.0;-4.539;-4.432
01:57.2;-4.53;-4.432
01:57.4;-4.542;-4.469
01:57.6;-4.567;-4.474
01:57.8;-4.573;-4.5
01:58.0;-4.59;-4.525
01:58.2;-4.593;-4.508
01:58.4;-4.607;-4.537
01:58.6;-4.618;-4.54
01:58.8;-4.641;-4.548
01:59.0;-4.655;-4.548
01:59.2;-4.664;-4.591
01:59.4;-4.672;-4.565
01:59.6;-4.684;-4.608
01:59.8;-4.709;-4.633
02:00.0;-4.723;-4.625
02:00.2;-4.701;-4.639
02:00.4;-4.726;-4.667
02:00.6;-4.766;-4.67
02:00.8;-4.774;-4.693
02:01.0;-4.777;-4.701
02:01.2;-4.8;-4.701
02:01.4;-4.808;-4.738
02:01.6;-4.831;-4.727
02:01.8;-4.831;-4.727
02:02.0;-4.831;-4.749
02:02.2;-4.868;-4.78
02:02.4;-4.859;-4.78
