Time_Peltier_On_	T1	T2
34:45.5	-5.326	-5.268
34:45.7	-5.314	-5.274
34:45.9	-5.357	-5.297
34:46.1	-5.374	-5.291
34:46.3	-5.382	-5.314
34:46.5	-5.38	-5.334
34:46.7	-5.397	-5.348
34:46.9	-5.414	-5.359
34:47.1	-5.436	-5.365
34:47.3	-5.45	-5.376
34:47.5	-5.448	-5.393
34:47.7	-5.482	-5.424
34:47.9	-5.482	-5.402
34:48.1	-5.507	-5.427
34:48.3	-5.51	-5.436
34:48.5	-5.513	-5.441
34:48.7	-5.527	-5.478
34:48.9	-5.547	-5.475
34:49.1	-5.555	-5.506
34:49.3	-5.575	-5.498
34:49.5	-5.572	-5.515
34:49.7	-5.592	-5.543
34:49.9	-5.606	-5.543
34:50.1	-5.618	-5.572
34:50.3	-5.637	-5.58
34:50.5	-5.635	-5.577
34:50.7	-5.663	-5.594
34:50.9	-5.686	-5.608
34:51.1	-5.683	-5.645
34:51.3	-5.694	-5.634
34:51.5	-5.705	-5.634
34:51.7	-5.734	-5.693
34:51.9	-5.748	-5.676
34:52.1	-5.759	-5.702
34:52.3	-5.765	-5.705
34:52.5	-5.782	-5.722
34:52.7	-5.779	-5.719
34:52.9	-5.813	-5.742
34:53.1	-5.813	-5.744
34:53.3	-5.827	-5.764
34:53.5	-5.81	-5.767
34:53.7	-5.873	-5.787
34:53.9	-5.87	-5.801
34:54.1	-5.893	-5.824
34:54.3	-5.901	-5.821
34:54.5	-5.89	-5.844
34:54.7	-5.935	-5.861
34:54.9	-5.929	-5.858
34:55.1	-5.938	-5.88
34:55.3	-5.958	-5.909
34:55.5	-5.969	-5.906
34:55.7	-5.986	-5.914
34:55.9	-5.989	-5.934
34:56.1	-6.017	-5.934
34:56.3	-6.023	-5.957
34:56.5	-6.023	-5.968
34:56.7	-6.051	-5.971
34:56.9	-6.043	-5.994
34:57.1	-6.091	-6.019
34:57.3	-6.085	-6.017
34:57.5	-6.085	-6.039
34:57.7	-6.108	-6.033
34:57.9	-6.128	-6.045
34:58.1	-6.139	-6.085
34:58.3	-6.145	-6.082
34:58.5	-6.17	-6.087
34:58.7	-6.196	-6.116
34:58.9	-6.193	-6.13
34:59.1	-6.207	-6.127
34:59.3	-6.213	-6.155
34:59.5	-6.227	-6.153
34:59.7	-6.255	-6.187
34:59.9	-6.261	-6.189
35:00.1	-6.264	-6.175
35:00.3	-6.289	-6.223
35:00.5	-6.278	-6.226
35:00.7	-6.32	-6.255
35:00.9	-6.306	-6.246
35:01.1	-6.329	-6.294
35:01.3	-6.354	-6.283
35:01.5	-6.357	-6.283
35:01.7	-6.366	-6.3
35:01.9	-6.383	-6.317
35:02.1	-6.397	-6.337
35:02.3	-6.397	-6.354
35:02.5	-6.408	-6.376
35:02.7	-6.434	-6.368
35:02.9	-6.442	-6.396
35:03.1	-6.482	-6.382
35:03.3	-6.49	-6.433
35:03.5	-6.499	-6.433
35:03.7	-6.499	-6.433
35:03.9	-6.502	-6.45
35:04.1	-6.519	-6.487
35:04.3	-6.553	-6.478
35:04.5	-6.536	-6.481
35:04.7	-6.556	-6.504
35:04.9	-6.564	-6.501
35:05.1	-6.607	-6.524
35:05.3	-6.615	-6.532
35:05.5	-6.621	-6.566
35:05.7	-6.626	-6.575
35:05.9	-6.618	-6.597
35:06.1	-6.669	-6.595
35:06.3	-6.686	-6.595
35:06.5	-6.694	-6.614
35:06.7	-6.689	-6.637
35:06.9	-6.723	-6.646
35:07.1	-6.737	-6.657
35:07.3	-6.737	-6.646
35:07.5	-6.731	-6.685
35:07.7	-6.748	-6.697
35:07.9	-6.785	-6.725
35:08.1	-6.765	-6.711
35:08.3	-6.797	-6.748
35:08.5	-6.794	-6.77
35:08.7	-6.799	-6.75
35:08.9	-6.828	-6.782
35:09.1	-6.848	-6.796
35:09.3	-6.865	-6.776
35:09.5	-6.87	-6.801
35:09.7	-6.893	-6.81
35:09.9	-6.893	-6.838
35:10.1	-6.921	-6.858
35:10.3	-6.933	-6.875
35:10.5	-6.952	-6.886
35:10.7	-6.961	-6.895
35:10.9	-6.95	-6.892
35:11.1	-6.967	-6.932
35:11.3	-6.969	-6.937
35:11.5	-6.998	-6.935
35:11.7	-7.049	-6.949
35:11.9	-7.035	-6.96
35:12.1	-7.052	-6.997
35:12.3	-7.029	-6.997
35:12.5	-7.052	-6.991
35:12.7	-7.08	-7.02
35:12.9	-7.111	-7.037
35:13.1	-7.1	-7.037
35:13.3	-7.114	-7.076
35:13.5	-7.122	-7.074
35:13.7	-7.162	-7.082
35:13.9	-7.142	-7.079
35:14.1	-7.162	-7.11
35:14.3	-7.182	-7.133
35:14.5	-7.199	-7.127
35:14.7	-7.21	-7.156
35:14.9	-7.224	-7.198
35:15.1	-7.236	-7.184
35:15.3	-7.239	-7.184
35:15.5	-7.261	-7.21
35:15.7	-7.264	-7.212
35:15.9	-7.278	-7.224
35:16.1	-7.321	-7.218
35:16.3	-7.301	-7.252
35:16.5	-7.324	-7.272
35:16.7	-7.326	-7.278
35:16.9	-7.349	-7.295
35:17.1	-7.358	-7.295
35:17.3	-7.375	-7.32
35:17.5	-7.4	-7.348
35:17.7	-7.403	-7.348
35:17.9	-7.426	-7.346
35:18.1	-7.42	-7.374
35:18.3	-7.445	-7.385
35:18.5	-7.462	-7.402
35:18.7	-7.468	-7.402
35:18.9	-7.488	-7.414
35:19.1	-7.511	-7.448
35:19.3	-7.496	-7.45
35:19.5	-7.519	-7.448
35:19.7	-7.536	-7.459
35:19.9	-7.539	-7.49
35:20.1	-7.562	-7.504
35:20.3	-7.576	-7.51
35:20.5	-7.579	-7.521
35:20.7	-7.59	-7.521
35:20.9	-7.632	-7.561
35:21.1	-7.632	-7.544
35:21.3	-7.627	-7.601
35:21.5	-7.649	-7.567
35:21.7	-7.658	-7.592
35:21.9	-7.678	-7.623
35:22.1	-7.678	-7.609
35:22.3	-7.706	-7.643
35:22.5	-7.715	-7.657
35:22.7	-7.729	-7.66
35:22.9	-7.737	-7.686
35:23.1	-7.752	-7.686
35:23.3	-7.769	-7.708
35:23.5	-7.783	-7.697
35:23.7	-7.783	-7.728
35:23.9	-7.811	-7.739
35:24.1	-7.811	-7.762
35:24.3	-7.831	-7.754
35:24.5	-7.842	-7.759
35:24.7	-7.851	-7.796
35:24.9	-7.873	-7.81
35:25.1	-7.882	-7.822
35:25.3	-7.896	-7.824
35:25.5	-7.91	-7.836
35:25.7	-7.922	-7.853
35:25.9	-7.919	-7.867
35:26.1	-7.939	-7.867
35:26.3	-7.967	-7.907
35:26.5	-7.964	-7.89
35:26.7	-7.978	-7.915
35:26.9	-7.992	-7.924
35:27.1	-8.015	-7.929
35:27.3	-8.021	-7.966
35:27.5	-8.038	-7.972
35:27.7	-8.035	-7.972
35:27.9	-8.052	-7.995
35:28.1	-8.066	-8.012
35:28.3	-8.077	-8.023
35:28.5	-8.094	-8.043
35:28.7	-8.126	-8.057
35:28.9	-8.1	-8.077
35:29.1	-8.14	-8.094
35:29.3	-8.14	-8.082
35:29.5	-8.171	-8.102
35:29.7	-8.182	-8.114
35:29.9	-8.196	-8.139
35:30.1	-8.194	-8.136
35:30.3	-8.208	-8.139
35:30.5	-8.228	-8.156
35:30.7	-8.259	-8.182
35:30.9	-8.225	-8.179
35:31.1	-8.259	-8.204
35:31.3	-8.25	-8.193
35:31.5	-8.327	-8.238
35:31.7	-8.31	-8.255
35:31.9	-8.327	-8.261
35:32.1	-8.344	-8.269
35:32.3	-8.335	-8.292
35:32.5	-8.375	-8.306
35:32.7	-8.386	-8.301
35:32.9	-8.372	-8.303
35:33.1	-8.355	-8.315
35:33.3	-8.415	-8.343
35:33.5	-8.42	-8.369
35:33.7	-8.417	-8.36
35:33.9	-8.437	-8.377
35:34.1	-8.451	-8.397
35:34.3	-8.463	-8.411
35:34.5	-8.502	-8.417
35:34.7	-8.508	-8.428
35:34.9	-8.508	-8.439
35:35.1	-8.531	-8.459
35:35.3	-8.511	-8.473
35:35.5	-8.551	-8.493
35:35.7	-8.556	-8.493
35:35.9	-8.559	-8.499
35:36.1	-8.602	-8.51
35:36.3	-8.582	-8.519
35:36.5	-8.61	-8.53
35:36.7	-8.61	-8.553
35:36.9	-8.644	-8.581
35:37.1	-8.641	-8.595
35:37.3	-8.67	-8.578
35:37.5	-8.67	-8.618
35:37.7	-8.692	-8.626
35:37.9	-8.701	-8.646
35:38.1	-8.738	-8.675
35:38.3	-8.718	-8.649
35:38.5	-8.769	-8.677
35:38.7	-8.743	-8.706
35:38.9	-8.752	-8.717
35:39.1	-8.797	-8.72
35:39.3	-8.786	-8.728
35:39.5	-8.786	-8.723
35:39.7	-8.831	-8.745
35:39.9	-8.828	-8.762
35:40.1	-8.848	-8.765
35:40.3	-8.851	-8.785
35:40.5	-8.862	-8.791
35:40.7	-8.882	-8.816
35:40.9	-8.874	-8.802
35:41.1	-8.905	-8.845
35:41.3	-8.925	-8.845
35:41.5	-8.925	-8.847
35:41.7	-8.95	-8.879
35:41.9	-8.945	-8.898
35:42.1	-8.979	-8.907
35:42.3	-8.979	-8.924
35:42.5	-8.993	-8.924
35:42.7	-9.001	-8.952
35:42.9	-9.044	-8.952
35:43.1	-9.035	-8.998
35:43.3	-9.049	-8.986
35:43.5	-9.064	-9.02
35:43.7	-9.083	-9.029
35:43.9	-9.081	-9.02
35:44.1	-9.092	-9.009
35:44.3	-9.109	-9.049
35:44.5	-9.117	-9.057
35:44.7	-9.134	-9.066
35:44.9	-9.146	-9.057
35:45.1	-9.157	-9.103
35:45.3	-9.191	-9.103
35:45.5	-9.18	-9.12
35:45.7	-9.197	-9.128
35:45.9	-9.202	-9.151
35:46.1	-9.228	-9.165
35:46.3	-9.234	-8.629
35:46.5	-7.496	-6.34
35:46.7	-6.043	-5.064
35:46.9	-5.462	-4.566
35:47.1	-5.263	-4.407
35:47.3	-5.235	-4.41
35:47.5	-5.295	-4.483
35:47.7	-5.411	-4.568
35:47.9	-5.555	-4.699
35:48.1	-5.674	-4.829
35:48.3	-5.799	-4.914
35:48.5	-5.941	-5.042
35:48.7	-6.065	-5.138
35:48.9	-6.182	-5.24
35:49.1	-6.278	-5.353
35:49.3	-6.363	-5.455
35:49.5	-6.465	-5.538
35:49.7	-6.564	-5.62
35:49.9	-6.666	-5.662
35:50.1	-6.72	-5.744
35:50.3	-6.799	-5.818
35:50.5	-6.882	-5.866
35:50.7	-6.958	-5.96
35:50.9	-7.046	-5.988
35:51.1	-7.103	-6.073
35:51.3	-7.128	-6.127
35:51.5	-7.207	-6.161
35:51.7	-7.253	-6.243
35:51.9	-7.349	-6.289
35:52.1	-7.38	-6.323
35:52.3	-7.406	-6.374
35:52.5	-7.508	-6.447
35:52.7	-7.508	-6.464
35:52.9	-7.593	-6.51
35:53.1	-7.63	-6.572
35:53.3	-7.695	-6.597
35:53.5	-7.732	-6.66
35:53.7	-7.803	-6.691
35:53.9	-7.828	-6.716
35:54.1	-7.856	-6.776
35:54.3	-7.916	-6.807
35:54.5	-7.961	-6.852
35:54.7	-7.998	-6.872
35:54.9	-8.026	-6.923
35:55.1	-8.072	-6.966
35:55.3	-8.103	-7
35:55.5	-8.145	-7.02
35:55.7	-8.174	-7.057
35:55.9	-8.236	-7.091
35:56.1	-8.256	-7.122
35:56.3	-8.301	-7.13
35:56.5	-8.318	-7.184
35:56.7	-8.349	-7.224
35:56.9	-8.395	-7.244
35:57.1	-8.434	-7.275
35:57.3	-8.46	-7.283
35:57.5	-8.534	-7.354
35:57.7	-8.525	-7.385
35:57.9	-8.568	-7.408
35:58.1	-8.593	-7.445
35:58.3	-8.63	-7.47
35:58.5	-8.653	-7.504
35:58.7	-8.687	-7.547
35:58.9	-8.715	-7.561
35:59.1	-8.757	-7.592
35:59.3	-8.792	-7.643
35:59.5	-8.794	-7.666
35:59.7	-8.845	-7.705
35:59.9	-8.888	-7.745
36:00.1	-8.919	-7.785
36:00.3	-8.95	-7.805
36:00.5	-8.979	-7.844
36:00.7	-9.021	-7.87
36:00.9	-9.038	-7.898
36:01.1	-9.064	-7.96
36:01.3	-9.109	-7.992
36:01.5	-9.129	-8.012
36:01.7	-9.16	-8.029
36:01.9	-9.2	-8.099
36:02.1	-9.248	-8.133
36:02.3	-9.265	-8.15
36:02.5	-9.319	-8.213
36:02.7	-9.347	-8.247
36:02.9	-9.372	-8.289
36:03.1	-9.409	-8.349
36:03.3	-9.44	-8.371
36:03.5	-9.478	-8.411
36:03.7	-9.492	-8.454
36:03.9	-9.555	-8.519
36:04.1	-9.587	-8.556
36:04.3	-9.625	-8.578
36:04.5	-9.668	-8.641
36:04.7	-9.694	-8.686
36:04.9	-9.719	-8.723
36:05.1	-9.748	-8.774
36:05.3	-9.789	-8.825
36:05.5	-9.863	-8.87
36:05.7	-9.881	-8.918
36:05.9	-9.898	-8.972
36:06.1	-9.978	-9.023
36:06.3	-10.016	-9.063
36:06.5	-10.048	-9.114
36:06.7	-10.079	-9.165
36:06.9	-10.119	-9.196
36:07.1	-10.134	-9.273
36:07.3	-10.186	-9.321
36:07.5	-10.22	-9.358
36:07.7	-10.275	-9.44
36:07.9	-10.292	-9.5
36:08.1	-10.321	-9.54
36:08.3	-10.381	-9.601
36:08.5	-10.427	-9.658
36:08.7	-10.465	-9.722
36:08.9	-10.499	-9.788
36:09.1	-10.519	-9.831
36:09.3	-10.606	-9.906
36:09.5	-10.629	-9.969
36:09.7	-10.672	-10.027
36:09.9	-10.698	-10.081
36:10.1	-10.75	-10.15
36:10.3	-10.801	-10.214
36:10.5	-10.856	-10.289
36:10.7	-10.856	-10.34
36:10.9	-10.937	-10.447
36:11.1	-10.974	-10.53
36:11.3	-11.037	-10.628
36:11.5	-11.083	-10.689
36:11.7	-11.158	-10.83
36:11.9	-11.21	-10.907
36:12.1	-11.299	-11.019
36:12.3	-11.351	-11.1
36:12.5	-11.391	-11.152
36:12.7	-11.463	-11.212
36:12.9	-11.498	-11.276
36:13.1	-11.501	-11.327
36:13.3	-11.527	-11.376
36:13.5	-11.524	-11.394
36:13.7	-11.558	-11.425
36:13.9	-11.587	-11.451
36:14.1	-11.573	-11.448
36:14.3	-11.576	-11.471
36:14.5	-11.57	-11.483
36:14.7	-11.584	-11.486
36:14.9	-11.587	-11.491
36:15.1	-11.581	-11.48
36:15.3	-11.564	-11.48
36:15.5	-11.544	-11.491
36:15.7	-11.553	-11.48
36:15.9	-11.535	-11.477
36:16.1	-11.532	-11.463
36:16.3	-11.532	-11.46
36:16.5	-11.524	-11.448
36:16.7	-11.518	-11.465
36:16.9	-11.506	-11.468
36:17.1	-11.506	-11.46
36:17.3	-11.489	-11.451
36:17.5	-11.486	-11.44
36:17.7	-11.498	-11.437
36:17.9	-11.486	-11.434
36:18.1	-11.478	-11.437
36:18.3	-11.495	-11.431
36:18.5	-11.492	-11.431
36:18.7	-11.495	-11.434
36:18.9	-11.469	-11.437
36:19.1	-11.478	-11.451
36:19.3	-11.506	-11.442
36:19.5	-11.498	-11.434
36:19.7	-11.495	-11.445
36:19.9	-11.501	-11.448
36:20.1	-11.495	-11.465
36:20.3	-11.515	-11.463
36:20.5	-11.506	-11.454
36:20.7	-11.521	-11.457
36:20.9	-11.535	-11.471
36:21.1	-11.538	-11.491
36:21.3	-11.547	-11.509
36:21.5	-11.547	-11.488
36:21.7	-11.567	-11.509
36:21.9	-11.567	-11.514
36:22.1	-11.558	-11.509
36:22.3	-11.593	-11.517
36:22.5	-11.59	-11.514
36:22.7	-11.59	-11.526
36:22.9	-11.613	-11.555
36:23.1	-11.624	-11.575
36:23.3	-11.636	-11.563
36:23.5	-11.63	-11.572
36:23.7	-11.639	-11.592
36:23.9	-11.645	-11.592
36:24.1	-11.668	-11.589
36:24.3	-11.685	-11.627
36:24.5	-11.679	-11.638
36:24.7	-11.705	-11.653
36:24.9	-11.714	-11.653
36:25.1	-11.728	-11.653
36:25.3	-11.728	-11.678
36:25.5	-11.74	-11.687
36:25.7	-11.742	-11.693
36:25.9	-11.771	-11.704
36:26.1	-11.786	-11.704
36:26.3	-11.8	-11.722
36:26.5	-11.783	-11.745
36:26.7	-11.8	-11.762
36:26.9	-11.826	-11.753
36:27.1	-11.84	-11.768
36:27.3	-11.863	-11.776
36:27.5	-11.835	-11.782
36:27.7	-11.86	-11.799
36:27.9	-11.878	-11.808
36:28.1	-11.889	-11.828
36:28.3	-11.906	-11.854
36:28.5	-11.927	-11.834
36:28.7	-11.941	-11.86
36:28.9	-11.932	-11.874
36:29.1	-11.976	-11.894
36:29.3	-11.967	-11.886
36:29.5	-11.967	-11.914
36:29.7	-11.976	-11.911
36:29.9	-11.993	-11.94
36:30.1	-12.004	-11.929
36:30.3	-11.987	-11.937
36:30.5	-12.019	-11.966
36:30.7	-12.03	-11.981
36:30.9	-12.053	-11.992
36:31.1	-12.073	-12.004
36:31.3	-12.099	-12.012
36:31.5	-12.088	-12.038
36:31.7	-12.105	-12.041
36:31.9	-12.114	-12.064
36:32.1	-12.124	-12.068
36:32.3	-12.124	-12.077
36:32.5	-12.132	-12.068
36:32.7	-12.161	-12.112
36:32.9	-12.19	-12.117
36:33.1	-12.178	-12.109
36:33.3	-12.207	-12.137
36:33.5	-12.219	-12.149
36:33.7	-12.219	-12.169
36:33.9	-12.239	-12.166
36:34.1	-12.236	-12.173
36:34.3	-12.25	-12.185
36:34.5	-12.253	-12.196
36:34.7	-12.265	-12.222
36:34.9	-12.288	-12.234
36:35.1	-12.317	-12.251
36:35.3	-12.317	-12.248
36:35.5	-12.322	-12.277
36:35.7	-12.331	-12.274
36:35.9	-12.345	-12.28
36:36.1	-12.374	-12.3
36:36.3	-12.403	-12.332
36:36.5	-12.412	-12.3
36:36.7	-12.386	-12.355
36:36.9	-12.409	-12.363
36:37.1	-12.426	-12.358
36:37.3	-12.403	-12.366
36:37.5	-12.455	-12.378
36:37.7	-12.466	-12.427
36:37.9	-12.463	-12.407
36:38.1	-12.504	-12.441
36:38.3	-12.512	-12.447
36:38.5	-12.507	-12.467
36:38.7	-12.518	-12.467
36:38.9	-12.553	-12.478
36:39.1	-12.547	-12.484
36:39.3	-12.544	-12.501
36:39.5	-12.564	-12.536
36:39.7	-12.576	-12.55
36:39.9	-12.619	-12.525
36:40.1	-12.59	-12.55
36:40.3	-12.59	-12.556
36:40.5	-12.61	-12.594
36:40.7	-12.622	-12.599
36:40.9	-12.619	-12.591
36:41.1	-12.662	-12.628
36:41.3	-12.665	-12.634
36:41.5	-12.688	-12.637
36:41.7	-12.679	-12.654
36:41.9	-12.691	-12.677
36:42.1	-12.699	-12.69
36:42.3	-12.748	-12.699
36:42.5	-12.737	-12.69
36:42.7	-12.76	-12.733
36:42.9	-12.768	-12.753
36:43.1	-12.78	-12.753
36:43.3	-12.791	-12.747
36:43.5	-12.826	-12.768
36:43.7	-12.812	-12.794
36:43.9	-12.832	-12.814
36:44.1	-12.883	-12.792
36:44.3	-12.879	-12.829
36:44.5	-12.893	-12.844
36:44.7	-12.922	-12.87
36:44.9	-12.914	-12.861
36:45.1	-12.908	-12.867
36:45.3	-12.914	-12.881
36:45.5	-12.963	-12.884
36:45.7	-12.945	-12.91
36:45.9	-12.974	-12.907
36:46.1	-12.988	-12.924
36:46.3	-12.991	-12.945
36:46.5	-13.011	-12.959
36:46.7	-13.049	-12.953
36:46.9	-13.052	-12.976
36:47.1	-13.055	-12.968
36:47.3	-13.06	-12.999
36:47.5	-13.06	-13.031
36:47.7	-13.083	-13.034
36:47.9	-13.106	-13.022
36:48.1	-13.106	-13.048
36:48.3	-13.118	-13.051
36:48.5	-13.127	-13.077
36:48.7	-13.147	-13.08
36:48.9	-13.167	-13.077
36:49.1	-13.173	-13.12
36:49.3	-13.173	-13.114
36:49.5	-13.207	-13.14
36:49.7	-13.193	-13.143
36:49.9	-13.207	-13.157
36:50.1	-13.204	-13.166
36:50.3	-13.242	-13.157
36:50.5	-13.239	-13.183
36:50.7	-13.259	-13.218
36:50.9	-13.273	-13.221
36:51.1	-13.302	-13.241
36:51.3	-13.311	-13.227
36:51.5	-13.317	-13.241
36:51.7	-13.334	-13.267
36:51.9	-13.342	-13.258
36:52.1	-13.342	-13.29
36:52.3	-13.363	-13.287
36:52.5	-13.377	-13.31
36:52.7	-13.4	-13.31
36:52.9	-13.371	-13.342
36:53.1	-13.403	-13.35
36:53.3	-13.411	-13.353
36:53.5	-13.432	-13.379
36:53.7	-13.446	-13.382
36:53.9	-13.458	-13.405
36:54.1	-13.469	-13.396
36:54.3	-13.494	-13.429
36:54.5	-13.479	-13.441
36:54.7	-13.511	-13.441
36:54.9	-13.522	-13.447
36:55.1	-13.525	-13.455
36:55.3	-13.525	-13.487
36:55.5	-13.545	-13.499
36:55.7	-13.574	-13.504
36:55.9	-13.577	-13.524
36:56.1	-13.583	-13.539
36:56.3	-13.594	-13.547
36:56.5	-13.617	-13.565
36:56.7	-13.617	-13.593
36:56.9	-13.649	-13.602
36:57.1	-13.658	-13.599
36:57.3	-13.672	-13.608
36:57.5	-13.704	-13.651
36:57.7	-13.715	-13.608
36:57.9	-13.683	-13.668
36:58.1	-13.715	-13.645
36:58.3	-13.738	-13.674
36:58.5	-13.75	-13.683
36:58.7	-13.752	-13.691
36:58.9	-13.761	-13.717
36:59.1	-13.778	-13.711
36:59.3	-13.787	-13.734
36:59.5	-13.799	-13.746
36:59.7	-13.807	-13.772
36:59.9	-13.836	-13.783
37:00.1	-13.839	-13.786
37:00.3	-13.862	-13.806
37:00.5	-13.859	-13.824
37:00.7	-13.882	-13.818
37:00.9	-13.914	-13.832
37:01.1	-13.896	-13.85
37:01.3	-13.911	-13.87
37:01.5	-13.934	-13.893
37:01.7	-13.948	-13.89
37:01.9	-13.957	-13.916
37:02.1	-13.963	-13.922
37:02.3	-13.991	-13.922
37:02.5	-14.011	-13.942
37:02.7	-13.991	-13.936
37:02.9	-14.02	-13.95
37:03.1	-14.049	-13.962
37:03.3	-14.049	-13.996
37:03.5	-14.052	-13.993
37:03.7	-14.075	-14.037
37:03.9	-14.086	-14.04
37:04.1	-14.106	-14.025
37:04.3	-14.119	-14.064
37:04.5	-14.131	-14.064
37:04.7	-14.134	-14.087
37:04.9	-14.157	-14.064
37:05.1	-14.148	-14.096
37:05.3	-14.168	-14.101
37:05.5	-14.177	-14.142
37:05.7	-14.174	-14.13
37:05.9	-14.191	-14.139
37:06.1	-14.206	-14.136
37:06.3	-14.209	-14.185
37:06.5	-14.24	-14.193
37:06.7	-14.249	-14.176
37:06.9	-14.252	-14.182
37:07.1	-14.272	-14.222
37:07.3	-14.289	-14.231
37:07.5	-14.292	-14.228
37:07.7	-14.304	-14.225
37:07.9	-14.309	-14.242
37:08.1	-14.324	-14.268
37:08.3	-14.321	-14.271
37:08.5	-14.344	-14.291
37:08.7	-14.347	-14.3
37:08.9	-14.35	-14.309
37:09.1	-14.361	-14.323
37:09.3	-14.387	-14.355
37:09.5	-14.404	-14.355
37:09.7	-14.422	-14.357
37:09.9	-14.404	-14.38
37:10.1	-14.436	-14.389
37:10.3	-14.439	-14.396
37:10.5	-14.466	-14.408
37:10.7	-14.455	-14.425
37:10.9	-14.478	-14.422
37:11.1	-14.501	-14.434
37:11.3	-14.504	-14.46
37:11.5	-14.512	-14.448
37:11.7	-14.535	-14.474
37:11.9	-14.529	-14.5
37:12.1	-14.538	-14.483
37:12.3	-14.555	-14.506
37:12.5	-14.593	-14.53
37:12.7	-14.599	-14.545
37:12.9	-14.57	-14.565
37:13.1	-14.604	-14.556
37:13.3	-14.619	-14.576
37:13.5	-14.63	-14.565
37:13.7	-14.624	-14.585
37:13.9	-14.659	-14.599
37:14.1	-14.662	-14.614
37:14.3	-14.671	-14.631
37:14.5	-14.656	-14.619
37:14.7	-14.691	-14.651
37:14.9	-14.688	-14.663
37:15.1	-14.725	-14.686
37:15.3	-14.734	-14.691
37:15.5	-14.757	-14.706
37:15.7	-14.771	-14.72
37:15.9	-14.763	-14.72
37:16.1	-14.786	-14.74
37:16.3	-14.812	-14.76
37:16.5	-14.813	-14.776
37:16.7	-14.836	-14.776
37:16.9	-14.839	-14.773
37:17.1	-14.862	-14.802
37:17.3	-14.859	-14.825
37:17.5	-14.871	-14.831
37:17.7	-14.876	-14.822
37:17.9	-14.885	-14.848
37:18.1	-14.891	-14.874
37:18.3	-14.931	-14.865
37:18.5	-14.925	-14.894
37:18.7	-14.931	-14.894
37:18.9	-14.96	-14.897
37:19.1	-14.968	-14.926
37:19.3	-14.963	-14.92
37:19.5	-14.991	-14.935
37:19.7	-15.035	-14.955
37:19.9	-15.017	-14.958
37:20.1	-15.032	-14.955
37:20.3	-15.038	-14.984
37:20.5	-15.076	-14.991
37:20.7	-15.065	-15.022
37:20.9	-15.091	-15.037
37:21.1	-15.091	-15.068
37:21.3	-15.119	-15.063
37:21.5	-15.131	-15.077
37:21.7	-15.131	-15.086
37:21.9	-15.128	-15.106
37:22.1	-15.154	-15.103
37:22.3	-15.165	-15.123
37:22.5	-15.191	-15.127
37:22.7	-15.196	-15.145
37:22.9	-15.21	-15.145
37:23.1	-15.225	-15.176
37:23.3	-15.225	-15.196
37:23.5	-15.248	-15.205
37:23.7	-15.256	-15.225
37:23.9	-15.268	-15.211
37:24.1	-15.291	-15.234
37:24.3	-15.273	-15.231
37:24.5	-15.296	-15.24
37:24.7	-15.282	-15.26
37:24.9	-15.325	-15.274
37:25.1	-15.328	-15.286
37:25.3	-15.343	-15.297
37:25.5	-15.36	-15.312
37:25.7	-15.371	-15.314
37:25.9	-15.377	-15.34
37:26.1	-15.394	-15.332
37:26.3	-15.412	-15.363
37:26.5	-15.426	-15.378
37:26.7	-15.44	-15.404
37:26.9	-15.449	-15.384
37:27.1	-15.443	-15.407
37:27.3	-15.466	-15.421
37:27.5	-15.486	-15.427
37:27.7	-15.498	-15.455
37:27.9	-15.515	-15.464
37:28.1	-15.53	-15.476
37:28.3	-15.553	-15.493
37:28.5	-15.535	-15.522
37:28.7	-15.573	-15.513
37:28.9	-15.587	-15.542
37:29.1	-15.578	-15.536
37:29.3	-15.604	-15.547
37:29.5	-15.633	-15.57
37:29.7	-15.627	-15.579
37:29.9	-15.662	-15.594
37:30.1	-15.645	-15.617
37:30.3	-15.676	-15.628
37:30.5	-15.679	-15.628
37:30.7	-15.685	-15.634
37:30.9	-15.691	-15.654
37:31.1	-15.711	-15.651
37:31.3	-15.717	-15.666
37:31.5	-15.737	-15.68
37:31.7	-15.748	-15.694
37:31.9	-15.734	-15.706
37:32.1	-15.76	-15.735
37:32.3	-15.786	-15.726
37:32.5	-15.786	-15.735
37:32.7	-15.804	-15.753
37:32.9	-15.839	-15.785
37:33.1	-15.85	-15.791
37:33.3	-15.856	-15.808
37:33.5	-15.85	-15.819
37:33.7	-15.885	-15.819
37:33.9	-15.879	-15.834
37:34.1	-15.908	-15.828
37:34.3	-15.917	-15.86
37:34.5	-15.917	-15.883
37:34.7	-15.948	-15.9
37:34.9	-15.951	-15.891
37:35.1	-15.965	-15.917
37:35.3	-15.974	-15.909
37:35.5	-15.991	-15.917
37:35.7	-15.994	-15.949
37:35.9	-16.009	-15.946
37:36.1	-16.026	-15.963
37:36.3	-16.055	-15.975
37:36.5	-16.055	-15.969
37:36.7	-16.071	-15.985
37:36.9	-16.073	-16.014
37:37.1	-16.082	-16.028
37:37.3	-16.094	-16.042
37:37.5	-16.096	-16.04
37:37.7	-16.111	-16.054
37:37.9	-16.119	-16.077
37:38.1	-16.062	-16.002
37:38.3	-15.86	-15.798
37:38.5	-15.639	-15.599
37:38.7	-15.351	-15.323
37:38.9	-15.003	-15.041
37:39.1	-14.684	-14.739
37:39.3	-14.422	-14.503
37:39.5	-14.105	-14.192
37:39.7	-13.757	-13.884
37:39.9	-13.4	-13.55
37:40.1	-13.092	-13.228
